Year,FieldID,irrigation_mm,cropType,ncrop,precip_mm,ETo_mm,ETr_mm,ensemble_et_mm,disalexi_et_mm,eemetric_et_mm,geesebal_et_mm,ptjpl_et_mm,sims_et_mm,ssebop_et_mm
2016,NB1,300.984584974,Corn,1,606.5,1476.5,2088.2,759.2451348465545,676.9091378775879,843.0693607274484,656.008860606896,753.7948196879418,918.0522594978132,773.2597216960015
2017,NB1,297.575356715,Corn,1,573.91,1480.5,2103.5,734.9508576447495,738.2761684979165,795.4758033961359,592.435444149761,677.5185048048775,929.879998622258,809.1008679778189
2018,NB1,369.860073969,Corn,1,601.55,1371.7,1912.29,775.704095339786,757.9177918230982,821.8144525195472,658.1467295835776,738.7799659008718,945.1134743223232,753.7063341714605
2019,NB1,255.20089173079998,Corn,1,654.55,1306.3,1807.64,637.3805238866121,591.6390658905386,678.3688561292324,512.610486343127,621.9361071883723,913.3521596114772,659.0811404264117
2020,NB1,342.5637281808,Corn,1,357.48,1568.81,2259.79,725.8754176282164,708.4831226535325,728.8396049323186,631.6800192883962,656.5453363414048,891.9559294595811,819.0031688079087
2021,NB1,286.76702997,Corn,1,442.48,1508.2,2149.32,697.1214135638759,681.9542847793892,743.3435831639862,570.6852460992667,635.8248544759415,898.0257207315818,793.9702407605143
2022,NB1,453.6148092278,Corn,1,291.52,1648.81,2397.78,751.0313005889852,749.3257500086114,871.9299676230502,461.01672235042895,560.1622980746049,931.3650501153865,953.3911497261744
2021,NC1,214.12199999999999,Corn,1,593.9,1351.1,1868,796.6820120335358,795.6792356974757,826.318616829924,761.0501278322887,850.5711755352892,926.3389519125416,778.4325811686975
2022,NC1,186.182,Corn,1,658.8,1449.9,2045.9,915.9047724969724,841.644379086583,1089.661990009584,831.7841048581764,770.9024025879519,1032.2357853516007,952.6155639587096
2021,NC2,194.81799999999998,Corn,1,600.26,1352.78,1870.34,922.2238447744226,1004.0349848011026,955.475091302732,871.8894580882195,895.0905919916028,978.8048417783808,964.8021245653556
2022,NC2,168.40199999999996,Corn,1,632.71,1457.08,2057.25,875.6328482078424,805.8868830231596,961.7510387735914,854.986441271022,751.1213724932758,1017.8163502963242,938.0846873838218
2016,NW1,294.19837284159996,Corn,1,606,1507.8,2137.3,748.3506440795896,669.4645007296027,859.7442622317142,487.86635227722974,779.4303302055451,966.2442477362996,768.2381886529895
2017,NW1,289.394253951,Corn,1,668.7,1503.1,2138,678.6422724944679,687.2621254143274,764.1986548255238,531.8055585083255,647.715609628821,892.5626153593416,715.4510393212282
2018,NW1,2.6191520388,Wheat,1,637.7,1426.5,2006.3,645.5997139571517,709.2280901808064,689.3639315429888,410.2752196055315,698.0560972545687,883.4285327741326,511.14101139339607
