FieldID,Ensemble_ET,Year
WC1,798.0089809,2016
WC2,956.4720176,2016
WC3,945.8340658,2016
WC6,979.1386214,2016
WC4,822.0826907,2016
WC5,867.6266925,2016
WC26,804.8094738,2016
SW4,853.9469418,2016
NW6,730.5947887,2016
NW7,778.6212968,2016
NB1,759.1600242,2016
WC20,881.2642287,2016
WC19,974.4579024,2016
SW3,767.0138936,2016
WC18,894.6170418,2016
WC17,754.8524084,2016
SW5,926.6376532,2016
SW6,902.8376761,2016
WC12,1077.652469,2016
WC8,880.3540286,2016
WC11,825.7216156,2016
WC25,549.0311106,2016
WC16,926.9483026,2016
WC15,864.6172967,2016
NW1,748.1142902,2016
NW2,793.986345,2016
NW3,844.6824315,2016
NW4,820.3335283,2016
NW5,812.1363994,2016
WC23,961.0089888,2016
WC22,820.987545,2016
WC24,796.6045335,2016
NC2,931.112282,2016
NC1,834.5518324,2016
WC21,835.82473,2016
WC13,1050.621733,2016
WC9,989.6560386,2016
SW1,879.8454051,2016
SW2,753.8617012,2016
WC10,883.8483573,2016
WC14,1062.57459,2016
WC7,744.8039516,2016
WC27,809.711382,2016
WC1,974.4592804,2017
WC2,782.779918,2017
WC3,742.5268163,2017
WC6,758.2044215,2017
WC4,979.6588332,2017
WC5,1018.295541,2017
WC26,786.4269731,2017
SW4,785.0917826,2017
NW6,619.9922838,2017
NW7,765.8752698,2017
NB1,734.7605629,2017
WC20,907.6025623,2017
WC19,893.9925117,2017
SW3,790.8689604,2017
WC18,862.3113407,2017
WC17,1005.560993,2017
SW5,911.1349925,2017
SW6,841.0410264,2017
WC12,1063.614228,2017
WC8,922.535459,2017
WC11,996.7367862,2017
WC25,698.7895442,2017
WC16,741.4705158,2017
WC15,853.5681643,2017
NW1,677.4500449,2017
NW2,674.87742,2017
NW3,754.0649161,2017
NW4,782.3618442,2017
NW5,774.8255818,2017
WC23,769.3955294,2017
WC22,992.1064323,2017
WC24,564.0543273,2017
NC2,989.0368052,2017
NC1,902.372735,2017
WC21,805.5138906,2017
WC13,1015.689545,2017
WC9,755.5989428,2017
SW1,864.6815325,2017
SW2,651.0500937,2017
WC10,773.534501,2017
WC14,1032.364861,2017
WC7,959.337512,2017
WC27,830.222847,2017
WC1,825.2911876,2018
WC2,964.9940302,2018
WC3,908.4668031,2018
WC6,967.9388614,2018
WC4,818.4368093,2018
WC5,857.1739264,2018
WC26,831.2730922,2018
SW4,854.4805402,2018
NW6,844.6865432,2018
NW7,347.5007085,2018
NB1,775.6083489,2018
WC20,883.8856853,2018
WC19,824.4303047,2018
SW3,612.1664858,2018
WC18,843.290637,2018
WC17,779.0197749,2018
SW5,861.2657431,2018
SW6,814.5103281,2018
WC12,1093.98313,2018
WC8,989.5809164,2018
WC11,909.4037586,2018
WC25,770.8968037,2018
WC16,711.1994571,2018
WC15,851.9503099,2018
NW1,644.6959806,2018
NW2,815.1043063,2018
NW3,817.770236,2018
NW4,821.4607324,2018
NW5,814.3531415,2018
WC23,909.9996906,2018
WC22,851.1705759,2018
WC24,905.4956533,2018
NC2,895.2725293,2018
NC1,791.6225097,2018
WC21,916.4965095,2018
WC13,1072.614919,2018
WC9,933.460758,2018
SW1,907.7460141,2018
SW2,754.1009533,2018
WC10,845.07427,2018
WC14,1049.613175,2018
WC7,723.8172508,2018
WC27,706.4782063,2018
WC1,897.3776981,2019
WC2,823.291322,2019
WC3,798.8252368,2019
WC6,832.1147341,2019
WC4,913.9647551,2019
WC5,946.506407,2019
WC26,813.6171101,2019
SW4,834.7504554,2019
NW6,687.3602225,2019
NW7,703.7307948,2019
NB1,638.1135579,2019
WC20,995.1600781,2019
WC19,957.6461417,2019
SW3,657.7626105,2019
WC18,789.4891927,2019
WC17,671.0310333,2019
SW5,914.6269399,2019
SW6,863.4161983,2019
WC12,1003.527397,2019
WC8,932.9846681,2019
WC11,581.6523901,2019
WC25,803.2266422,2019
WC16,892.5742576,2019
WC15,960.9271841,2019
NW1,744.0458556,2019
NW2,714.7015472,2019
NW3,706.7244441,2019
NW4,761.384448,2019
NW5,730.6194301,2019
WC23,750.8742783,2019
WC22,912.7939057,2019
