FieldID,Ensemble_ET,Year
WC25,537.8887105167009,2008
WC12,931.76283868569,2008
SW6,851.3386660360542,2008
SW5,852.9682779046493,2008
WC17,784.6983858216947,2008
WC18,800.4086523515264,2008
SW3,771.0343722444546,2008
WC19,874.5657321493898,2008
WC20,646.0196278484924,2008
NB1,702.896715222717,2008
NW7,667.924661565627,2008
NW6,603.9113147706408,2008
SW4,834.0199374738911,2008
WC26,761.6596780404501,2008
WC5,821.2864587988211,2008
WC4,810.3972548136086,2008
WC6,922.3657241255364,2008
WC3,852.1481588898683,2008
WC8,869.336213732151,2008
WC2,822.6839483537483,2008
WC11,851.4633452737345,2008
WC16,865.8964876437828,2008
WC10,828.0890262643202,2008
SW2,552.558967996759,2008
SW1,642.5920578440762,2008
WC9,716.1381265698848,2008
WC13,883.5555038662935,2008
WC21,770.3252419701162,2008
NC1,796.8324331397868,2008
NC2,913.7118969655438,2008
WC24,590.0057317258928,2008
WC22,796.5060148609027,2008
WC23,778.328204504897,2008
NW5,694.0426763869824,2008
NW4,796.2238074189927,2008
NW3,842.6839720725503,2008
NW2,778.4885303265938,2008
NW1,783.3099554058365,2008
WC15,808.6173254062261,2008
WC27,444.9480357192227,2008
WC14,981.9774689502926,2008
WC1,821.885511651469,2008
WC7,863.3402492838896,2008
WC11,919.2146099757146,2009
WC8,938.2104446772428,2009
WC12,909.0063902960444,2009
SW6,851.1673119438609,2009
SW5,669.2487700093841,2009
WC17,918.5847093189502,2009
WC18,865.8201571865676,2009
SW3,612.0189129304298,2009
WC19,798.6036338643338,2009
WC20,794.0831164104037,2009
NB1,658.6949332244554,2009
NW7,659.181757242823,2009
NW6,535.7826108026902,2009
SW4,780.5918424999495,2009
WC26,753.5401193744973,2009
WC5,947.6267260255604,2009
WC4,950.0043269036352,2009
WC25,600.8726625554953,2009
WC2,830.7717668628997,2009
WC27,632.8472754416525,2009
NW1,733.193112761647,2009
WC7,828.6601986308194,2009
WC14,976.9698350194642,2009
WC10,802.1448495855459,2009
SW2,771.5548093477825,2009
SW1,777.5672414579626,2009
WC9,650.0211318907388,2009
WC13,976.314988057889,2009
WC21,830.4418500941463,2009
NC1,748.4067735079263,2009
NC2,825.0350692094605,2009
WC24,752.6016168431504,2009
WC22,789.1696134822408,2009
WC23,807.7892742109243,2009
NW5,743.6646641015834,2009
NW4,755.2834041685087,2009
NW3,747.0761250664036,2009
NW2,681.2435311310127,2009
WC15,849.4597913959454,2009
WC16,797.2290895860741,2009
WC3,802.7152665454507,2009
WC1,804.5057871899918,2009
WC6,808.2267432759154,2009
WC5,858.6593194208605,2010
WC25,587.4779568880571,2010
WC11,877.0213946620054,2010
WC8,950.439173038078,2010
WC12,839.7599649889231,2010
SW6,792.6599810816455,2010
SW5,860.1609158615905,2010
WC17,786.5706532404109,2010
WC4,836.8619607979066,2010
WC18,779.914550938375,2010
WC19,844.1085115345813,2010
WC20,483.1179159956765,2010
NB1,816.6349471854173,2010
NW7,638.3582227018071,2010
NW6,480.4747163634211,2010
SW4,740.3605746512447,2010
WC26,874.8612794669161,2010
WC16,901.5425316951672,2010
SW3,812.1661862126656,2010
WC15,842.7839499074278,2010
NW2,827.3465771974041,2010
WC2,819.6040546063023,2010
WC7,632.9588858536373,2010
WC14,867.8930182394207,2010
WC10,867.2868701685763,2010
SW2,531.8729111808798,2010
SW1,858.3151601204321,2010
WC9,879.4784047928476,2010
WC13,851.6201954988735,2010
WC21,720.4620610678621,2010
NC1,833.108780950089,2010
NC2,847.7398749900165,2010
WC24,574.4528909674547,2010
WC22,797.1274926702625,2010
WC23,611.5064114959418,2010
NW5,745.2916769795015,2010
NW4,749.0738635204516,2010
NW3,720.3746755710707,2010
NW1,699.6590661195656,2010
WC27,598.6655663376744,2010
WC1,850.6456323509979,2010
WC3,972.8868004506568,2010
WC6,938.0771465180866,2010
WC6,896.8081599285705,2011
WC8,981.4475595710072,2011
WC12,915.3526359002956,2011
SW6,818.8818592782428,2011
SW5,923.6380057607496,2011
WC17,969.5392106841892,2011
WC18,792.6760822257004,2011
SW3,620.0633125325008,2011
WC3,825.699805905384,2011
WC19,785.794190029598,2011
NB1,734.6914232278798,2011
NW7,485.0728642120637,2011
NW6,804.8365165604991,2011
SW4,901.449566494772,2011
WC26,906.1348822997584,2011
WC5,1003.4171842881404,2011
WC4,983.5633524548972,2011
WC11,825.6911300696239,2011
WC20,898.9660497231478,2011
WC27,386.9382433441157,2011
NW1,682.926022660661,2011
WC7,855.632544044947,2011
WC14,934.5668657068549,2011
WC10,822.5321609853778,2011
SW2,743.6741442171357,2011
SW1,910.5427672095244,2011
WC9,901.8719789730104,2011
WC13,947.2325676388656,2011
WC21,811.7778719843204,2011
NC1,856.9173531565872,2011
NC2,936.1085829819964,2011
WC24,618.4815213896053,2011
WC22,714.2528927284527,2011
WC23,832.7474682740066,2011
NW5,701.3918877363511,2011
NW4,658.7264356873279,2011
NW3,740.9469454352281,2011
NW2,768.8629270123878,2011
WC15,856.65350912499,2011
WC16,799.9932215723048,2011
WC25,615.8312777476389,2011
WC1,853.8294293202947,2011
WC2,852.7464297153713,2011
NW2,757.3393575374052,2012
NW3,769.2631706761783,2012
NW4,824.1620890143143,2012
NW5,817.9270076277469,2012
WC23,733.1504339707072,2012
WC22,658.543172713234,2012
WC24,737.691773055247,2012
NC2,957.038843888844,2012
NC1,913.0215687640226,2012
WC21,892.0916623539651,2012
WC13,850.2827585424385,2012
WC9,953.8369475898804,2012
SW1,918.7003615254775,2012
SW2,565.8458514786312,2012
WC10,913.6635058675612,2012
WC14,905.7408676504456,2012
WC7,731.9246342029885,2012
WC27,539.0238035995689,2012
NW1,739.232846829065,2012
WC15,894.5657723754877,2012
WC1,825.3427161799045,2012
WC25,466.0783133864017,2012
WC16,646.0576418236266,2012
WC3,809.1404397246977,2012
WC6,795.6995425477024,2012
WC4,814.848824110501,2012
WC5,773.1549792206629,2012
WC26,923.2516658853468,2012
SW4,945.5529776946856,2012
NW6,839.0693704802571,2012
NW7,407.2136114925991,2012
NB1,754.7282880699634,2012
WC2,709.6876870740784,2012
WC19,871.963234560511,2012
WC20,653.1644073592025,2012
WC8,954.692111797288,2012
WC12,1051.763590029588,2012
SW6,875.7400046195971,2012
WC11,842.1406833140094,2012
WC17,687.0968899454464,2012
WC18,652.8035822393358,2012
SW3,548.0113217572176,2012
SW5,946.7821601184696,2012
WC22,914.2349432644749,2013
NW1,758.9573721349549,2013
NW2,784.3430042366059,2013
NW3,588.9953100098659,2013
NW4,857.1618374077726,2013
NW5,863.0835827164378,2013
WC23,850.0847223526677,2013
WC15,869.341350521511,2013
WC13,972.2095854584238,2013
NC2,961.0600459855148,2013
NC1,886.8241825968207,2013
WC21,777.7687107039435,2013
WC9,553.8818688843688,2013
SW1,873.9321483965144,2013
SW2,612.3428701640677,2013
WC10,745.7900775356245,2013
WC14,961.0076058442538,2013
WC16,776.3348800761252,2013
WC24,680.4300374028962,2013
WC7,842.8793837578388,2013
WC20,805.7342160993587,2013
WC11,1055.7442735101895,2013
WC2,780.4961839649212,2013
WC3,769.6667707787209,2013
WC6,832.1234193544653,2013
WC4,848.1669006314161,2013
WC5,700.9138383680402,2013
WC26,993.980490724618,2013
SW4,916.3315150768062,2013
NW6,517.0970152870291,2013
WC25,674.1644265580192,2013
NW7,730.9908170383451,2013
WC19,864.8459432194842,2013
SW3,825.8769811662029,2013
WC18,670.873285373795,2013
WC17,759.5393564592365,2013
SW5,887.3741612467525,2013
SW6,867.0982544518625,2013
WC12,1037.2053647503524,2013
WC8,1065.2488352037587,2013
NB1,727.3010431209337,2013
WC1,847.0608618563061,2013
WC27,768.4617068922627,2013
WC7,1004.8821044249556,2014
WC16,968.0234194397026,2014
WC15,946.2594901045328,2014
NW1,790.6740174073054,2014
NW2,779.3115983804363,2014
NW3,762.0387189800415,2014
NW4,832.3052599367579,2014
NW5,810.5630958006133,2014
WC23,869.2867300541976,2014
WC25,646.1299502895158,2014
WC22,789.3002842371476,2014
NC2,927.7656756381846,2014
NC1,890.4131708974701,2014
WC21,747.6981897662333,2014
WC13,1105.0955085183268,2014
WC9,1050.6480427067,2014
SW1,822.9692247160251,2014
SW2,665.4145926169739,2014
WC10,1080.0235109900343,2014
WC24,602.1752520323369,2014
WC14,1054.601479600721,2014
WC11,870.5348838550776,2014
WC12,1154.2632879428666,2014
WC1,800.4891965111669,2014
WC2,1008.9252918631744,2014
WC3,997.9553526609922,2014
WC6,1024.256097914505,2014
WC4,776.2501516438189,2014
WC5,837.1918010992946,2014
WC26,850.9766524912935,2014
SW4,825.7809154972998,2014
WC8,831.8096911047186,2014
NW6,627.6661030730215,2014
NB1,750.9716697837368,2014
WC20,978.0294555602128,2014
WC19,847.9810934849845,2014
SW3,656.0550204616875,2014
WC18,709.7143262303039,2014
WC17,791.2417062408543,2014
SW5,835.3078638032883,2014
SW6,766.3360537633218,2014
NW7,742.8762180367537,2014
WC27,418.12944624146434,2014
NC2,973.373949668139,2015
WC14,1073.7974620971684,2015
SW5,848.9453867893312,2015
WC17,954.91547850659,2015
WC18,850.2798597210785,2015
SW3,799.5128535576204,2015
